,name,price,date
478,Bronzini Whole  600-800 S&G,9.76,28/12/2022
479,Lane Snapper Fillet Skin On,20.31,28/12/2022
480,Tilapia Fillet 5/7 oz,8.1,28/12/2022
481,Tuna #1 Premium Loin Yellowfin,24.02,28/12/2022
482,Grouper Fillet Domestic,29.88,28/12/2022
483,Salmon Fillet Faroe Islands Skin On,15.73,28/12/2022
484,Salmon Verlasso Fillet ASC,13.41,28/12/2022
485,Striped Bass  Farmed Fillet,19.31,28/12/2022
486,Swordfish Loin,24.95,28/12/2022
487,Chilean Sea Bass Fillet Skin Off PF,37.95,28/12/2022
488,Salmon Loch Duart Fillet,16.95,28/12/2022
489,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,28/12/2022
490,Bronzini Whole HEAD ON Butterfly,17.95,29/12/2022
491,"Salmon, Ora King Fillet",27.95,29/12/2022
492,Dover Sole Whole,17.85,29/12/2022
493,Salmon Wester Ross filet,16.72,29/12/2022
494,Salmon Norwegian Fillet,13.44,29/12/2022
495,"Salmon, Whole Scale Gut (Canada)",8.25,29/12/2022
496,"Salmon, Sixty South Fillet",13.2,29/12/2022
497,Black Sea Bass Fillet,29.73,29/12/2022
498,"Dover Sole, Fresh Fillet Wild",52.76,29/12/2022
499,"Meagre Fillet, Skin Off",21.25,29/12/2022
500,Kanpachi Fillet Skin On,30.14,29/12/2022
501,"Arctic Charr, Scale Gut",10.45,29/12/2022
502,"Bronzini, 400-600 S&G",8.99,29/12/2022
503,"Bronzini Fillet, 400-600gr  Farmed",19.95,29/12/2022
504,"Snapper 1-2, Whole S&G",11.65,29/12/2022
505,Trout Rainbow Head On,9.01,29/12/2022
506,Trout Rainbow 6-8 oz,11.44,29/12/2022
507,Mahi Mahi Fillet Skin Off,13.22,29/12/2022
508,Salmon Chile Fillet,10.7,29/12/2022
509,Salmon Fillet Skin Off,15.5,29/12/2022
510,Salmon Fillet Skin On,13.95,29/12/2022
511,Striped Bass Wild Fillet Lg Skin On,27.95,29/12/2022
512,"Bronzini, Fillet 600-800",19.95,29/12/2022
513,"Cod Loins, Icelandic MSC 20+",19.95,29/12/2022
514,Arctic Char Whole,9.95,29/12/2022
515,Arctic Char Fillet,19.95,29/12/2022
516,Halibut Fillet Skin Off,33.95,29/12/2022
517,"Flounder Fillet, Skin Off Hand Cut",24.95,29/12/2022
518,Snapper Fillet  American Red,25.14,29/12/2022
519,Salmon Irish Fillet,16.99,29/12/2022
520,Bronzini Whole  600-800 S&G,9.76,29/12/2022
521,Lane Snapper Fillet Skin On,20.31,29/12/2022
522,Tilapia Fillet 5/7 oz,8.1,29/12/2022
523,Tuna #1 Premium Loin Yellowfin,24.02,29/12/2022
524,Grouper Fillet Domestic,29.88,29/12/2022
525,Salmon Fillet Faroe Islands Skin On,15.73,29/12/2022
526,Salmon Verlasso Fillet ASC,13.41,29/12/2022
527,Striped Bass  Farmed Fillet,19.31,29/12/2022
528,Swordfish Loin,24.95,29/12/2022
529,Chilean Sea Bass Fillet Skin Off PF,37.95,29/12/2022
530,Salmon Loch Duart Fillet,16.95,29/12/2022
531,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,29/12/2022
532,Bronzini Whole HEAD ON Butterfly,17.95,30/12/2022
533,"Salmon, Ora King Fillet",27.95,30/12/2022
534,Salmon Norwegian Fillet,13.44,30/12/2022
535,"Salmon, Whole Scale Gut (Canada)",8.25,30/12/2022
536,"Salmon, Sixty South Fillet",13.2,30/12/2022
537,Black Sea Bass Fillet,29.73,30/12/2022
538,"Meagre Fillet, Skin Off",21.25,30/12/2022
539,Kanpachi Fillet Skin On,30.14,30/12/2022
540,"Arctic Charr, Scale Gut",10.45,30/12/2022
541,"Bronzini, 400-600 S&G",8.99,30/12/2022
542,"Bronzini Fillet, 400-600gr  Farmed",19.95,30/12/2022
543,Trout Rainbow Head On,9.01,30/12/2022
544,Trout Rainbow 6-8 oz,11.44,30/12/2022
545,Mahi Mahi Fillet Skin Off,13.22,30/12/2022
546,Salmon Chile Fillet,10.7,30/12/2022
547,Salmon Fillet Skin Off,15.5,30/12/2022
548,Salmon Fillet Skin On,13.95,30/12/2022
549,Striped Bass Wild Fillet Lg Skin On,27.95,30/12/2022
550,"Bronzini, Fillet 600-800",19.95,30/12/2022
551,"Cod Loins, Icelandic MSC 20+",19.95,30/12/2022
552,Arctic Char Whole,9.95,30/12/2022
553,Arctic Char Fillet,19.95,30/12/2022
554,Halibut Fillet Skin Off,33.95,30/12/2022
555,"Flounder Fillet, Skin Off Hand Cut",24.95,30/12/2022
556,Snapper Fillet  American Red,25.14,30/12/2022
557,Salmon Irish Fillet,16.99,30/12/2022
558,Bronzini Whole  600-800 S&G,9.76,30/12/2022
559,Lane Snapper Fillet Skin On,20.31,30/12/2022
560,Tilapia Fillet 5/7 oz,8.1,30/12/2022
561,Tuna #1 Premium Loin Yellowfin,24.02,30/12/2022
562,Grouper Fillet Domestic,29.88,30/12/2022
563,Salmon Fillet Faroe Islands Skin On,15.73,30/12/2022
564,Salmon Verlasso Fillet ASC,13.41,30/12/2022
565,Striped Bass  Farmed Fillet,19.31,30/12/2022
566,Swordfish Loin,24.95,30/12/2022
567,Chilean Sea Bass Fillet Skin Off PF,37.95,30/12/2022
568,Salmon Loch Duart Fillet,16.95,30/12/2022
569,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,30/12/2022
570,Bronzini Whole HEAD ON Butterfly,17.95,30/12/2022
571,"Salmon, Ora King Fillet",27.95,30/12/2022
572,Salmon Norwegian Fillet,13.44,30/12/2022
573,"Salmon, Whole Scale Gut (Canada)",8.25,30/12/2022
574,"Salmon, Sixty South Fillet",13.2,30/12/2022
575,Black Sea Bass Fillet,29.73,30/12/2022
576,"Meagre Fillet, Skin Off",21.25,30/12/2022
577,Kanpachi Fillet Skin On,30.14,30/12/2022
578,"Arctic Charr, Scale Gut",10.45,30/12/2022
579,"Bronzini, 400-600 S&G",8.99,30/12/2022
580,"Bronzini Fillet, 400-600gr  Farmed",19.95,30/12/2022
581,Trout Rainbow Head On,9.01,30/12/2022
582,Trout Rainbow 6-8 oz,11.44,30/12/2022
583,Mahi Mahi Fillet Skin Off,13.22,30/12/2022
584,Salmon Chile Fillet,10.7,30/12/2022
585,Salmon Fillet Skin Off,15.5,30/12/2022
586,Salmon Fillet Skin On,13.95,30/12/2022
587,Striped Bass Wild Fillet Lg Skin On,27.95,30/12/2022
588,"Bronzini, Fillet 600-800",19.95,30/12/2022
589,"Cod Loins, Icelandic MSC 20+",19.95,30/12/2022
590,Arctic Char Whole,9.95,30/12/2022
591,Arctic Char Fillet,19.95,30/12/2022
592,Halibut Fillet Skin Off,33.95,30/12/2022
593,"Flounder Fillet, Skin Off Hand Cut",24.95,30/12/2022
594,Snapper Fillet  American Red,25.14,30/12/2022
595,Salmon Irish Fillet,16.99,30/12/2022
596,Bronzini Whole  600-800 S&G,9.76,30/12/2022
597,Lane Snapper Fillet Skin On,20.31,30/12/2022
598,Tilapia Fillet 5/7 oz,8.1,30/12/2022
599,Tuna #1 Premium Loin Yellowfin,24.02,30/12/2022
600,Grouper Fillet Domestic,29.88,30/12/2022
601,Salmon Fillet Faroe Islands Skin On,15.73,30/12/2022
602,Salmon Verlasso Fillet ASC,13.41,30/12/2022
603,Striped Bass  Farmed Fillet,19.31,30/12/2022
604,Swordfish Loin,24.95,30/12/2022
605,Chilean Sea Bass Fillet Skin Off PF,37.95,30/12/2022
606,Salmon Loch Duart Fillet,16.95,30/12/2022
607,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,30/12/2022
608,Bronzini Whole HEAD ON Butterfly,17.95,31/12/2022
609,"Salmon, Ora King Fillet",27.95,31/12/2022
610,Salmon Norwegian Fillet,13.44,31/12/2022
611,"Salmon, Whole Scale Gut (Canada)",8.25,31/12/2022
612,"Salmon, Sixty South Fillet",13.2,31/12/2022
613,Black Sea Bass Fillet,29.73,31/12/2022
614,"Meagre Fillet, Skin Off",21.25,31/12/2022
615,Kanpachi Fillet Skin On,30.14,31/12/2022
616,"Arctic Charr, Scale Gut",10.45,31/12/2022
617,"Bronzini, 400-600 S&G",8.99,31/12/2022
618,"Bronzini Fillet, 400-600gr  Farmed",19.95,31/12/2022
619,"Snapper 1-2, Whole S&G",11.65,31/12/2022
620,Trout Rainbow Head On,9.01,31/12/2022
621,Trout Rainbow 6-8 oz,11.44,31/12/2022
622,Mahi Mahi Fillet Skin Off,13.22,31/12/2022
623,Salmon Chile Fillet,10.7,31/12/2022
624,Salmon Fillet Skin Off,15.5,31/12/2022
625,Salmon Fillet Skin On,13.95,31/12/2022
626,Striped Bass Wild Fillet Lg Skin On,27.95,31/12/2022
627,"Bronzini, Fillet 600-800",19.95,31/12/2022
628,"Cod Loins, Icelandic MSC 20+",19.95,31/12/2022
629,Arctic Char Whole,9.95,31/12/2022
630,Arctic Char Fillet,19.95,31/12/2022
631,Halibut Fillet Skin Off,33.95,31/12/2022
632,"Flounder Fillet, Skin Off Hand Cut",24.95,31/12/2022
633,Snapper Fillet  American Red,25.14,31/12/2022
634,Salmon Irish Fillet,16.99,31/12/2022
635,Bronzini Whole  600-800 S&G,9.76,31/12/2022
636,Lane Snapper Fillet Skin On,20.31,31/12/2022
637,Tilapia Fillet 5/7 oz,8.1,31/12/2022
638,Tuna #1 Premium Loin Yellowfin,24.02,31/12/2022
639,Grouper Fillet Domestic,29.88,31/12/2022
640,Salmon Fillet Faroe Islands Skin On,15.73,31/12/2022
641,Salmon Verlasso Fillet ASC,13.41,31/12/2022
642,Striped Bass  Farmed Fillet,19.31,31/12/2022
643,Swordfish Loin,24.95,31/12/2022
644,Chilean Sea Bass Fillet Skin Off PF,37.95,31/12/2022
645,Salmon Loch Duart Fillet,16.95,31/12/2022
646,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,31/12/2022
647,Bronzini Whole HEAD ON Butterfly,17.95,02/01/2023
648,"Salmon, Ora King Fillet",27.95,02/01/2023
649,Salmon Norwegian Fillet,13.44,02/01/2023
650,"Salmon, Whole Scale Gut (Canada)",8.25,02/01/2023
651,"Salmon, Sixty South Fillet",13.2,02/01/2023
652,Black Sea Bass Fillet,38.02,02/01/2023
653,"Meagre Fillet, Skin Off",21.25,02/01/2023
654,Kanpachi Fillet Skin On,30.14,02/01/2023
655,"Arctic Charr, Scale Gut",10.45,02/01/2023
656,"Bronzini, 400-600 S&G",8.98,02/01/2023
657,"Bronzini Fillet, 400-600gr  Farmed",19.95,02/01/2023
658,"Snapper 1-2, Whole S&G",11.65,02/01/2023
659,Trout Rainbow Head On,9.01,02/01/2023
660,Trout Rainbow 6-8 oz,11.44,02/01/2023
661,Mahi Mahi Fillet Skin Off,13.22,02/01/2023
662,Salmon Chile Fillet,10.7,02/01/2023
663,Salmon Fillet Skin Off,15.5,02/01/2023
664,Salmon Fillet Skin On,13.95,02/01/2023
665,Striped Bass Wild Fillet Lg Skin On,27.95,02/01/2023
666,"Bronzini, Fillet 600-800",19.95,02/01/2023
667,"Cod Loins, Icelandic MSC 20+",19.95,02/01/2023
668,Arctic Char Whole,9.95,02/01/2023
669,Arctic Char Fillet,19.95,02/01/2023
670,Halibut Fillet Skin Off,33.95,02/01/2023
671,"Flounder Fillet, Skin Off Hand Cut",26.6,02/01/2023
672,Snapper Fillet  American Red,24.31,02/01/2023
673,Salmon Irish Fillet,16.99,02/01/2023
674,Bronzini Whole  600-800 S&G,9.8,02/01/2023
675,Lane Snapper Fillet Skin On,20.31,02/01/2023
676,Tilapia Fillet 5/7 oz,8.1,02/01/2023
677,Tuna #1 Premium Loin Yellowfin,24.66,02/01/2023
678,Grouper Fillet Domestic,29.88,02/01/2023
679,Salmon Fillet Faroe Islands Skin On,13.61,02/01/2023
680,Salmon Verlasso Fillet ASC,13.41,02/01/2023
681,Striped Bass  Farmed Fillet,19.31,02/01/2023
682,Swordfish Loin,15.69,02/01/2023
683,Chilean Sea Bass Fillet Skin Off PF,37.95,02/01/2023
684,Salmon Loch Duart Fillet,16.95,02/01/2023
685,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,02/01/2023
686,Bronzini Whole HEAD ON Butterfly,17.95,03/01/2023
687,"Salmon, Ora King Fillet",26.95,03/01/2023
688,Salmon Wester Ross filet,16.72,03/01/2023
689,Salmon Norwegian Fillet,13.44,03/01/2023
690,"Salmon, Whole Scale Gut (Canada)",8.25,03/01/2023
691,"Salmon, Sixty South Fillet",13.2,03/01/2023
692,Black Sea Bass Fillet,38.02,03/01/2023
693,"Meagre Fillet, Skin Off",21.25,03/01/2023
694,Kanpachi Fillet Skin On,30.14,03/01/2023
695,"Arctic Charr, Scale Gut",10.45,03/01/2023
696,"Bronzini, 400-600 S&G",8.98,03/01/2023
697,"Bronzini Fillet, 400-600gr  Farmed",19.95,03/01/2023
698,"Snapper 1-2, Whole S&G",11.65,03/01/2023
699,Trout Rainbow Head On,9.01,03/01/2023
700,Trout Rainbow 6-8 oz,11.44,03/01/2023
701,Mahi Mahi Fillet Skin Off,16.95,03/01/2023
702,Salmon Chile Fillet,10.7,03/01/2023
703,Salmon Fillet Skin Off,15.5,03/01/2023
704,Salmon Fillet Skin On,13.95,03/01/2023
705,Striped Bass Wild Fillet Lg Skin On,19.95,03/01/2023
706,"Bronzini, Fillet 600-800",18.95,03/01/2023
707,"Cod Loins, Icelandic MSC 20+",19.95,03/01/2023
708,Arctic Char Whole,9.95,03/01/2023
709,Arctic Char Fillet,17.95,03/01/2023
710,Halibut Fillet Skin Off,33.95,03/01/2023
711,"Flounder Fillet, Skin Off Hand Cut",26.6,03/01/2023
712,Snapper Fillet  American Red,24.31,03/01/2023
713,Salmon Irish Fillet,16.99,03/01/2023
714,Bronzini Whole  600-800 S&G,9.8,03/01/2023
715,Lane Snapper Fillet Skin On,20.31,03/01/2023
716,Tilapia Fillet 5/7 oz,8.1,03/01/2023
717,Tuna #1 Premium Loin Yellowfin,24.66,03/01/2023
718,Grouper Fillet Domestic,29.88,03/01/2023
719,Salmon Fillet Faroe Islands Skin On,13.61,03/01/2023
720,Salmon Verlasso Fillet ASC,13.41,03/01/2023
721,Striped Bass  Farmed Fillet,19.31,03/01/2023
722,Swordfish Loin,15.69,03/01/2023
723,Chilean Sea Bass Fillet Skin Off PF,37.95,03/01/2023
724,Salmon Loch Duart Fillet,16.95,03/01/2023
725,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,03/01/2023
726,Bronzini Whole HEAD ON Butterfly,17.95,04/01/2023
727,"Salmon, Ora King Fillet",26.95,04/01/2023
728,Dover Sole Whole,17.85,04/01/2023
729,Salmon Wester Ross filet,16.72,04/01/2023
730,Salmon Norwegian Fillet,13.44,04/01/2023
731,"Salmon, Whole Scale Gut (Canada)",8.25,04/01/2023
732,"Salmon, Sixty South Fillet",13.2,04/01/2023
733,Black Sea Bass Fillet,38.02,04/01/2023
734,"Dover Sole, Fresh Fillet Wild",52.76,04/01/2023
735,"Meagre Fillet, Skin Off",21.25,04/01/2023
736,Kanpachi Fillet Skin On,30.14,04/01/2023
737,"Arctic Charr, Scale Gut",10.45,04/01/2023
738,"Bronzini, 400-600 S&G",8.98,04/01/2023
739,"Bronzini Fillet, 400-600gr  Farmed",19.95,04/01/2023
740,"Snapper 1-2, Whole S&G",11.65,04/01/2023
741,Trout Rainbow Head On,9.01,04/01/2023
742,Trout Rainbow 6-8 oz,11.44,04/01/2023
743,Mahi Mahi Fillet Skin Off,16.95,04/01/2023
744,Salmon Chile Fillet,10.7,04/01/2023
745,Salmon Fillet Skin Off,15.5,04/01/2023
746,Salmon Fillet Skin On,13.95,04/01/2023
747,Striped Bass Wild Fillet Lg Skin On,19.95,04/01/2023
748,"Bronzini, Fillet 600-800",18.95,04/01/2023
749,"Cod Loins, Icelandic MSC 20+",19.95,04/01/2023
750,Arctic Char Whole,9.95,04/01/2023
751,Arctic Char Fillet,17.95,04/01/2023
752,Halibut Fillet Skin Off,33.95,04/01/2023
753,"Flounder Fillet, Skin Off Hand Cut",26.6,04/01/2023
754,Snapper Fillet  American Red,24.31,04/01/2023
755,Salmon Irish Fillet,16.99,04/01/2023
756,Bronzini Whole  600-800 S&G,9.8,04/01/2023
757,Lane Snapper Fillet Skin On,20.31,04/01/2023
758,Tilapia Fillet 5/7 oz,8.1,04/01/2023
759,Tuna #1 Premium Loin Yellowfin,24.66,04/01/2023
760,Grouper Fillet Domestic,29.88,04/01/2023
761,Salmon Fillet Faroe Islands Skin On,13.61,04/01/2023
762,Salmon Verlasso Fillet ASC,13.41,04/01/2023
763,Striped Bass  Farmed Fillet,19.31,04/01/2023
764,Swordfish Loin,15.69,04/01/2023
765,Chilean Sea Bass Fillet Skin Off PF,37.95,04/01/2023
766,Salmon Loch Duart Fillet,16.95,04/01/2023
767,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,04/01/2023
768,Bronzini Whole HEAD ON Butterfly,17.95,04/01/2023
769,"Salmon, Ora King Fillet",26.95,04/01/2023
770,Dover Sole Whole,17.85,04/01/2023
771,Salmon Wester Ross filet,16.72,04/01/2023
772,Salmon Norwegian Fillet,13.44,04/01/2023
773,"Salmon, Whole Scale Gut (Canada)",8.25,04/01/2023
774,"Salmon, Sixty South Fillet",13.2,04/01/2023
775,Black Sea Bass Fillet,38.02,04/01/2023
776,"Dover Sole, Fresh Fillet Wild",52.76,04/01/2023
777,"Meagre Fillet, Skin Off",21.25,04/01/2023
778,Kanpachi Fillet Skin On,30.14,04/01/2023
779,"Arctic Charr, Scale Gut",10.45,04/01/2023
780,"Bronzini, 400-600 S&G",8.98,04/01/2023
781,"Bronzini Fillet, 400-600gr  Farmed",19.95,04/01/2023
782,"Snapper 1-2, Whole S&G",11.65,04/01/2023
783,Trout Rainbow Head On,9.01,04/01/2023
784,Trout Rainbow 6-8 oz,11.44,04/01/2023
785,Mahi Mahi Fillet Skin Off,16.95,04/01/2023
786,Salmon Chile Fillet,10.7,04/01/2023
787,Salmon Fillet Skin Off,15.5,04/01/2023
788,Salmon Fillet Skin On,13.95,04/01/2023
789,Striped Bass Wild Fillet Lg Skin On,19.95,04/01/2023
790,"Bronzini, Fillet 600-800",18.95,04/01/2023
791,"Cod Loins, Icelandic MSC 20+",19.95,04/01/2023
792,Arctic Char Whole,9.95,04/01/2023
793,Arctic Char Fillet,17.95,04/01/2023
794,Halibut Fillet Skin Off,33.95,04/01/2023
795,"Flounder Fillet, Skin Off Hand Cut",26.6,04/01/2023
796,Snapper Fillet  American Red,24.31,04/01/2023
797,Salmon Irish Fillet,16.99,04/01/2023
798,Bronzini Whole  600-800 S&G,9.8,04/01/2023
799,Lane Snapper Fillet Skin On,20.31,04/01/2023
800,Tilapia Fillet 5/7 oz,8.1,04/01/2023
801,Tuna #1 Premium Loin Yellowfin,24.66,04/01/2023
802,Grouper Fillet Domestic,29.88,04/01/2023
803,Salmon Fillet Faroe Islands Skin On,13.61,04/01/2023
804,Salmon Verlasso Fillet ASC,13.41,04/01/2023
805,Striped Bass  Farmed Fillet,19.31,04/01/2023
806,Swordfish Loin,15.69,04/01/2023
807,Chilean Sea Bass Fillet Skin Off PF,37.95,04/01/2023
808,Salmon Loch Duart Fillet,16.95,04/01/2023
809,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,04/01/2023
810,Bronzini Whole HEAD ON Butterfly,17.95,05/01/2023
811,"Salmon, Ora King Fillet",26.95,05/01/2023
812,Dover Sole Whole,17.85,05/01/2023
813,Salmon Wester Ross filet,16.72,05/01/2023
814,Salmon Norwegian Fillet,13.44,05/01/2023
815,"Salmon, Whole Scale Gut (Canada)",8.25,05/01/2023
816,"Salmon, Sixty South Fillet",13.2,05/01/2023
817,Black Sea Bass Fillet,38.02,05/01/2023
818,"Dover Sole, Fresh Fillet Wild",52.76,05/01/2023
819,"Meagre Fillet, Skin Off",21.25,05/01/2023
820,Kanpachi Fillet Skin On,30.14,05/01/2023
821,"Arctic Charr, Scale Gut",10.45,05/01/2023
822,"Bronzini, 400-600 S&G",8.98,05/01/2023
823,"Bronzini Fillet, 400-600gr  Farmed",19.95,05/01/2023
824,"Snapper 1-2, Whole S&G",11.65,05/01/2023
825,Trout Rainbow Head On,9.01,05/01/2023
826,Trout Rainbow 6-8 oz,11.44,05/01/2023
827,Mahi Mahi Fillet Skin Off,16.95,05/01/2023
828,Salmon Chile Fillet,10.7,05/01/2023
829,Salmon Fillet Skin Off,15.5,05/01/2023
830,Salmon Fillet Skin On,13.95,05/01/2023
831,Striped Bass Wild Fillet Lg Skin On,19.95,05/01/2023
832,"Bronzini, Fillet 600-800",18.95,05/01/2023
833,"Cod Loins, Icelandic MSC 20+",19.95,05/01/2023
834,Arctic Char Whole,9.95,05/01/2023
835,Arctic Char Fillet,17.95,05/01/2023
836,Halibut Fillet Skin Off,33.95,05/01/2023
837,"Flounder Fillet, Skin Off Hand Cut",26.6,05/01/2023
838,Snapper Fillet  American Red,24.31,05/01/2023
839,Salmon Irish Fillet,16.99,05/01/2023
840,Bronzini Whole  600-800 S&G,9.8,05/01/2023
841,Lane Snapper Fillet Skin On,20.31,05/01/2023
842,Tilapia Fillet 5/7 oz,8.1,05/01/2023
843,Tuna #1 Premium Loin Yellowfin,24.66,05/01/2023
844,Grouper Fillet Domestic,29.88,05/01/2023
845,Salmon Fillet Faroe Islands Skin On,13.61,05/01/2023
846,Salmon Verlasso Fillet ASC,13.41,05/01/2023
847,Striped Bass  Farmed Fillet,19.31,05/01/2023
848,Swordfish Loin,15.69,05/01/2023
849,Chilean Sea Bass Fillet Skin Off PF,37.95,05/01/2023
850,Salmon Loch Duart Fillet,16.95,05/01/2023
851,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,05/01/2023
852,Bronzini Whole HEAD ON Butterfly,17.95,06/01/2023
853,Dover Sole Whole,17.85,06/01/2023
854,Salmon Wester Ross filet,16.72,06/01/2023
855,Salmon Norwegian Fillet,13.44,06/01/2023
856,"Salmon, Whole Scale Gut (Canada)",8.25,06/01/2023
857,"Salmon, Sixty South Fillet",13.2,06/01/2023
858,Black Sea Bass Fillet,38.02,06/01/2023
859,"Dover Sole, Fresh Fillet Wild",52.76,06/01/2023
860,"Meagre Fillet, Skin Off",21.25,06/01/2023
861,Kanpachi Fillet Skin On,30.14,06/01/2023
862,"Arctic Charr, Scale Gut",10.45,06/01/2023
863,"Bronzini, 400-600 S&G",8.98,06/01/2023
864,"Bronzini Fillet, 400-600gr  Farmed",19.95,06/01/2023
865,"Snapper 1-2, Whole S&G",11.65,06/01/2023
866,Trout Rainbow Head On,9.01,06/01/2023
867,Trout Rainbow 6-8 oz,11.44,06/01/2023
868,Mahi Mahi Fillet Skin Off,16.95,06/01/2023
869,Salmon Chile Fillet,10.7,06/01/2023
870,Salmon Fillet Skin Off,15.5,06/01/2023
871,Salmon Fillet Skin On,13.95,06/01/2023
872,Striped Bass Wild Fillet Lg Skin On,19.95,06/01/2023
873,"Bronzini, Fillet 600-800",18.95,06/01/2023
874,"Cod Loins, Icelandic MSC 20+",19.95,06/01/2023
875,Arctic Char Whole,9.95,06/01/2023
876,Arctic Char Fillet,17.95,06/01/2023
877,Halibut Fillet Skin Off,33.95,06/01/2023
878,"Flounder Fillet, Skin Off Hand Cut",26.6,06/01/2023
879,Snapper Fillet  American Red,24.31,06/01/2023
880,Salmon Irish Fillet,16.99,06/01/2023
881,Bronzini Whole  600-800 S&G,9.8,06/01/2023
882,Lane Snapper Fillet Skin On,20.31,06/01/2023
883,Tilapia Fillet 5/7 oz,8.1,06/01/2023
884,Tuna #1 Premium Loin Yellowfin,24.66,06/01/2023
885,Grouper Fillet Domestic,29.88,06/01/2023
886,Salmon Fillet Faroe Islands Skin On,13.61,06/01/2023
887,Salmon Verlasso Fillet ASC,13.41,06/01/2023
888,Striped Bass  Farmed Fillet,19.31,06/01/2023
889,Swordfish Loin,15.69,06/01/2023
890,Chilean Sea Bass Fillet Skin Off PF,37.95,06/01/2023
891,Salmon Loch Duart Fillet,16.95,06/01/2023
892,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,06/01/2023
893,Bronzini Whole HEAD ON Butterfly,17.95,09/01/2023
894,"Salmon, Ora King Fillet",27.95,09/01/2023
895,Salmon Wester Ross filet,16.72,09/01/2023
896,Salmon Norwegian Fillet,13.44,09/01/2023
897,"Salmon, Whole Scale Gut (Canada)",8.25,09/01/2023
898,"Salmon, Sixty South Fillet",13.2,09/01/2023
899,Black Sea Bass Fillet,38.02,09/01/2023
900,Kanpachi Fillet Skin On,30.14,09/01/2023
901,"Arctic Charr, Scale Gut",10.45,09/01/2023
902,"Bronzini, 400-600 S&G",8.98,09/01/2023
903,"Bronzini Fillet, 400-600gr  Farmed",19.95,09/01/2023
904,"Snapper 1-2, Whole S&G",11.8,09/01/2023
905,Trout Rainbow Head On,9.01,09/01/2023
906,Trout Rainbow 6-8 oz,11.44,09/01/2023
907,Mahi Mahi Fillet Skin Off,18.95,09/01/2023
908,Salmon Chile Fillet,10.7,09/01/2023
909,Salmon Fillet Skin Off,15.5,09/01/2023
910,Salmon Fillet Skin On,13.95,09/01/2023
911,Striped Bass Wild Fillet Lg Skin On,24.95,09/01/2023
912,"Bronzini, Fillet 600-800",19.95,09/01/2023
913,"Cod Loins, Icelandic MSC 20+",19.95,09/01/2023
914,Arctic Char Whole,9.95,09/01/2023
915,Arctic Char Fillet,19.95,09/01/2023
916,Halibut Fillet Skin Off,33.95,09/01/2023
917,"Flounder Fillet, Skin Off Hand Cut",22.4,09/01/2023
918,Snapper Fillet  American Red,24.31,09/01/2023
919,Salmon Irish Fillet,16.99,09/01/2023
920,Bronzini Whole  600-800 S&G,9.8,09/01/2023
921,Lane Snapper Fillet Skin On,22.64,09/01/2023
922,Tilapia Fillet 5/7 oz,8.1,09/01/2023
923,Tuna #1 Premium Loin Yellowfin,34.84,09/01/2023
924,Salmon Fillet Faroe Islands Skin On,16.89,09/01/2023
925,Salmon Verlasso Fillet ASC,13.41,09/01/2023
926,Striped Bass  Farmed Fillet,19.31,09/01/2023
927,Swordfish Loin,16.95,09/01/2023
928,Chilean Sea Bass Fillet Skin Off PF,37.95,09/01/2023
929,Salmon Loch Duart Fillet,16.95,09/01/2023
930,Tuna 2+ Premium Loin Yellowfin/Bigeye,26.91,09/01/2023
931,Bronzini Whole HEAD ON Butterfly,17.95,09/01/2023
932,"Salmon, Ora King Fillet",27.95,09/01/2023
933,Salmon Wester Ross filet,16.72,09/01/2023
934,Salmon Norwegian Fillet,13.44,09/01/2023
935,"Salmon, Whole Scale Gut (Canada)",8.25,09/01/2023
936,"Salmon, Sixty South Fillet",13.2,09/01/2023
937,Black Sea Bass Fillet,38.02,09/01/2023
938,Kanpachi Fillet Skin On,30.14,09/01/2023
939,"Arctic Charr, Scale Gut",10.45,09/01/2023
940,"Bronzini, 400-600 S&G",8.98,09/01/2023
941,"Bronzini Fillet, 400-600gr  Farmed",19.95,09/01/2023
942,"Snapper 1-2, Whole S&G",11.8,09/01/2023
943,Trout Rainbow Head On,9.01,09/01/2023
944,Trout Rainbow 6-8 oz,11.44,09/01/2023
945,Mahi Mahi Fillet Skin Off,18.95,09/01/2023
946,Salmon Chile Fillet,10.7,09/01/2023
947,Salmon Fillet Skin Off,15.5,09/01/2023
948,Salmon Fillet Skin On,13.95,09/01/2023
949,Striped Bass Wild Fillet Lg Skin On,24.95,09/01/2023
950,"Bronzini, Fillet 600-800",19.95,09/01/2023
951,"Cod Loins, Icelandic MSC 20+",19.95,09/01/2023
952,Arctic Char Whole,9.95,09/01/2023
953,Arctic Char Fillet,19.95,09/01/2023
954,Halibut Fillet Skin Off,33.95,09/01/2023
955,"Flounder Fillet, Skin Off Hand Cut",22.4,09/01/2023
